date_hour,trip_count
2009-02-20 23,39
2009-02-21 00,35
2009-02-21 01,19
2009-02-21 02,23
2009-02-21 03,13
2009-02-21 04,4
2009-02-21 05,7
2009-02-21 06,3
2009-02-21 07,5
2009-02-21 08,11
2009-02-21 09,17
2009-02-21 10,14
2009-02-21 11,11
2009-02-21 12,19
2009-02-21 13,24
2009-02-21 14,21
2009-02-21 15,18
2009-02-21 16,36
2009-02-21 17,18
2009-02-21 18,27
2009-02-21 19,33
2009-02-21 20,37
2009-02-21 21,21
2009-02-21 22,30
2009-02-21 23,41
2009-02-22 00,29
2009-02-22 01,32
2009-02-22 02,27
2009-02-22 03,14
2009-02-22 04,8
2009-02-22 05,6
2009-02-22 06,8
2009-02-22 07,6
2009-02-22 08,6
2009-02-22 09,15
2009-02-22 10,17
2009-02-22 11,17
2009-02-22 12,14
2009-02-22 13,24
2009-02-22 14,35
2009-02-22 15,19
2009-02-22 16,24
2009-02-22 17,34
2009-02-22 18,25
2009-02-22 19,28
2009-02-22 20,14
2009-02-22 21,20
2009-02-22 22,8
2009-02-22 23,14
2009-02-23 00,22
2009-02-23 01,9
2009-02-23 02,1
2009-02-23 03,2
2009-02-23 04,1
